"paper","status","year","primary_url","repo_url","datasets","prediction_unit","native_labels","shared_attributes","label_harmonization","missing_label_policy","cooccurrence_modeling","joint_attribute_heads","consistency_loss","dataset_native_heads","cross_dataset_protocol","imbalance_tail_metrics","code_completeness","relevance","novelty_risk","open_gap"
"Towards Enhanced Classification of Abnormal Lung Sound in Multi-breath: A Light Weight Multi-label and Multi-head Attention Classification Method","arXiv v1","2024","https://arxiv.org/abs/2407.10828","","ICBHI 2017","cycle","Normal; Crackle; Wheeze; Both","crackle; wheeze","flat4 encoded as 2D binary vector and reconstructed at inference","none; complete ICBHI labels assumed","Both represented by simultaneous positive attributes","single pathology attribute output; multi-head means class-specific attention","none","no","single-dataset official split","Sp; Se; Score=59.2; no support-aware tail table","no official repo found","near-direct method","near-direct","no cross-dataset; no explicit normal; no unknown mask; no joint flat4 head"
"PC-MCL: Patient-Consistent Multi-Cycle Learning with Multi-Label Bias Correction for Respiratory Sound Classification","ICASSP 2026; arXiv","2026","https://arxiv.org/abs/2601.17080","","ICBHI 2017","concatenated multi-cycle input; cycle inference","Normal; Crackle; Wheeze; Both","explicit normal; crackle; wheeze","3D labels combined by logical OR; reconstructed to flat4 by threshold and priority","none; complete ICBHI labels assumed","logical OR preserves co-occurrence across concatenated cycles","pathology multi-label head plus patient-matching auxiliary; no joint flat4 head","none","no","single-dataset official split","Sp 79.04+-1.90; Se 51.71+-2.98; Score 65.37+-0.73; crackle AP 0.642; wheeze AP 0.663","no official repo found","near-direct method","near-direct","no heterogeneous datasets; no unknown mask; no attr-joint consistency"
"LungMix: A Mixup-Based Strategy for Generalization in Respiratory Sound Classification","ICASSP 2025; arXiv","2025","https://arxiv.org/abs/2501.00064","","ICBHI; SPRSound; HF_Lung","mapped respiratory sample/cycle/event","dataset-specific native labels mapped to flat4","implicit crackle/wheeze semantics through flat4","SPRSound coarse/fine to Crackle and rhonchi/stridor to Wheeze; HF mapped to flat4","not specified; HF missing Both/negative semantics unresolved","bitwise OR semantic mix; crackle plus wheeze becomes Both","single flat4 classifier","none","no","single-source domain generalization; two unseen target datasets; COMB is test aggregation","aggregate Sp/Se/Score; no complete per-class tail evidence","no complete author train/eval pipeline found","near-direct application","near-direct","no pooled masked heterogeneous learning; no native heads; no unknown mask"
"A dataset and benchmark of respiratory sound classification using SPRSound","IEEE TBioCAS","2022","https://doi.org/10.1109/TBCAS.2022.3204910","https://github.com/SJTU-YONGFU-RESEARCH-GRP/SPRSound","SPRSound; ICBHI in data-fusion experiment","event and recording","event seven-class/binary; recording ternary/five-class","none","coarse/fine crackle merged in fusion; ICBHI and SPRSound pooled into six-class benchmark","none","Wheeze+Crackle is a native event class","single fusion classifier","none","separate task models; no explicit native-head plus shared-head design","pooled data-fusion train/test; not source-only transfer","binary Score 61.55 and six-class Score 42.78 in fusion table; class supports supplied","official dataset/evaluation repo; model reproduction scope limited","near-direct data/application","near-direct","no 0/1/unknown; no masked attributes; no consistency"
"Towards Open Respiratory Acoustic Foundation Models: Pretraining and Benchmarking","NeurIPS 2024 Datasets and Benchmarks","2024","https://proceedings.neurips.cc/paper_files/paper/2024/hash/2f803abdcad9de35b45d5a656dade45c-Abstract-Datasets_and_Benchmarks_Track.html","https://github.com/evelyn0414/OPERA","10 respiratory datasets; 19 downstream tasks","dataset/task specific","dataset-specific disease/event/health labels","none for shared crackle-wheeze","shared pretraining; downstream tasks retain own label spaces","not a heterogeneous-label objective","not modeled as shared flat4 co-occurrence","task-specific downstream classifiers; no attr+joint architecture","none","yes at downstream-task level","multi-dataset SSL pretraining; per-task linear probe/fine-tune; selected cross-domain disease tasks","aggregate task metrics; no direct Both/tail evidence for proposed task","official repo available","multi-dataset representation component","partial overlap","no event-level universal attributes; no eligibility mask; no attr-joint consistency"
"A dual-purpose deep learning model for auscultated lung and tracheal sound analysis based on mixed set training","Biomedical Signal Processing and Control","2023","https://www.sciencedirect.com/science/article/pii/S1746809423006559","","HF_Lung_V2; HF_Tracheal_V1","temporal event/window","I/E/CAS events in both domains","none","same task definitions enable mixed-set training","not heterogeneous missing labels","not crackle-wheeze co-occurrence","shared dual-purpose classifier","none","no","separate; mixed pooled; cross-test; target fine-tune/domain adaptation","task-level detection metrics","no official repo verified","pooled/adaptation precedent","partial overlap","not heterogeneous respiratory attributes; no native heads or unknown mask"
"Evaluating few-shot prompting for spectrogram-based lung sound classification using a multimodal language model","PLOS Digital Health","2026","https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0001179","","ICBHI 2017","cycle/spectrogram prompt","Normal; Crackle; Wheeze; Both","separate crackle and wheeze binary analyses","reports flat4 and two binary views","not applicable; no training","co-occurrence retained in flat4 analysis","no learned attr+joint heads","none","no","single-dataset prompting evaluation","per-class/binary evaluation reported","prompts/protocol in paper; no respiratory training repo needed","analysis precedent","partial overlap","not a learned framework; no cross-dataset or missing labels"
"Multi-Stage Respiratory Sound Analysis: Confidence-Driven Wheeze and Crackle Detection","IEEE Transactions on Biomedical Engineering","2026","https://pmc.ncbi.nlm.nih.gov/articles/PMC13184872/","","private PERCH pediatric data","2 s segment then recording aggregation","Normal; Wheeze; Crackle","separate N-W and N-C classifiers","binary tasks combined by confidence into recording decision","complete private annotations assumed","no Both state; confidence aggregation","two independent binary classifiers; no joint flat4 head","none","no","single private dataset","segment BA 72.15 wheeze and 68.1 crackle; recording BA 62.12","no official repo found","attribute-head component","partial overlap","no Both/co-occurrence; no multi-dataset; no unknown mask"
"Robust and Interpretable Temporal Convolution Network for Event Detection in Lung Sound Recordings","IEEE JBHI","2022","https://arxiv.org/abs/2106.15835","","HF_Lung; ICBHI; private M3DICINE","1 s window with overlap","HF I/E/CAS/DAS; ICBHI/private crackle/wheeze","dataset-specific binary outputs","same architecture applied to each dataset/task","not stated as heterogeneous joint objective","crackle/wheeze tasks evaluated; no joint Both head","separate binary models/tasks","none","no","separate training/evaluation per dataset; not multi-dataset learning","task-specific event metrics","no official repo verified","application reference","partial overlap","no joint learning; no shared attributes across datasets"
"Pretraining Respiratory Sound Representations using Metadata and Contrastive Learning","arXiv; later venue version","2022","https://arxiv.org/abs/2210.16192","https://github.com/ilyassmoummad/scl_icbhi2017","ICBHI; SPRSound","cycle/event by dataset","dataset-native respiratory classes","none","dataset loaders and training selected separately","none","class contrastive objective only","class and metadata contrastive projections; not pathology attr+joint heads","none","no","separate per-dataset training/evaluation","aggregate classification metrics","official repo; separate ICBHI/SPRS paths","component reference","partial overlap","not joint cross-dataset training; no unknown mask"
