,Dataset,Paper,Year,Feature / Input,Model,Task,Performance,Link
,CAM (Cambridge COVID-19 respiratory sound dataset),The voice of COVID-19: Breath and cough recording classification with temporal decision trees and random forests,2023,MFCC,"Interval Temporal Decision Trees (TDT), Temporal Random Forests (TRF)",Binary Classification: COVID-19 vs Healthy,Best reported performance: Accuracy: 99.4%,https://doi.org/10.1016/j.artmed.2022.102486
,"CLAC, ADReSS, PC-GITA",Speech as a Biomarker for Disease Detection,2024,Interpretable acoustic and linguistic features (41 features),Neural Additive Models (NAMs),"Binary Classification: Patients (Alzheimer, Parkinson) vs Healthy","Parkinson’s Disease detection: 73% speaker-level accuracy
Alzheimer’s Disease detection: 75% accuracy on test set",https://doi.org/10.1109/ACCESS.2024.3506433
,"Classifier evaluation: Coswara & ComParE & Sarcos
Pre-train: TASK, Brooklyn, Wallacedene, Google AudioSet & Freesound, LibriSpeech","COVID-19 detection in cough, breath and speech using deep transfer learning and bottleneck features",2022,"MFCC, Log Filterbank Energy, Zero Crossing Rate (ZCR), Kurtosis","CNN, LSTM, Resnet50",Binary Classification: COVID-19 vs Healthy,"
Cough: best AUC: 0.982
Breath: best AUC: 0.942
Speech: best AUC: 0.923",https://doi.org/10.1016/j.compbiomed.2021.105153
,Coswara,Real Time Asthma Disease Detection and Identification Technique from Speech Signals Using Hybrid Dense Convolutional Neural Network,2023,"Multi-level speech features (pitch, spectral properties, textual 
representation)",Hybrid Dense Convolutional Neural Network (HDCNN) with Modified Crow Search optimization,"4-class Classification of Asthma: Normal, Stridor, Wheezes, Rattle / Rhonchi","Accuracy: 98.10%, Specificity: 98.75%, Precision: 98.23%,
F1-score: 97.88%, Sensitivity: 98.61%, Recall: 98.74%",https://doi.org/10.13052/jmm1550-4646.1967
,Coswara,Application of Speech-derived Breathing Patterns in Detecting Respiratory Disorders,2023,"Speech-derived Breathing Patterns (SDBPs), MFCC","SBreathNet (LSTM-based), Random Forest, XGBoost",Binary Classification: Healthy vs Respiratory disorder,AUC: CLD detection: 0.76,https://ssrn.com/abstract=4611035
,Coswara,Speech-based respiratory diagnostics: A study on COVID-19 detection with machine learning,2025,OpenSMILE acoustic features,"Decision Tree (DT), Random Forest (RF), Support Vector Machine (SVM),
 Artificial Neural Network (ANN)",Binary Classification: COVID-19 vs Healthy,"Random Forest + ANOVA feature selection: 
Accuracy: 76.47% for vowel /a/, 
Accuracy: 75.54% for vowels /e/ and /o/",https://doi.org/10.1371/journal.pone.0332146
,Coswara & Coughvid & Virufy & DetectNow & Sarcos,"A novel multimodal fusion framework for early diagnosis and accurate classification of COVID-19 patients using X-ray 
images and speech signal processing techniques",2022,"MFCC, First/Second Order Derivatives, PCA / SFS feature selection","Logistic Regression (LR), SVM",Binary Classification: COVID-19 vs Healthy,The proposed multimodal fusion framework achieves the best result,https://doi.org/10.1016/j.cmpb.2022.107109
,Coswara & Virufy & NoCoCoDa,Machine learning for detecting COVID-19 from cough sounds: An ensemble-based MCDM method,2022,"MFCC, Mel-Scaled Spectrogram, Chromagram, Tonal Centroid, Spectral Contrast","Extra-Trees, SVM, Random Forest, AdaBoost, MLP, XGBoost, Gradient Boosting, 
Logistic Regression, k-NN, Histogram Gradient Boosting, Ensemble-based MCDM",Binary Classification: COVID-19 vs Healthy,Best: Proposed RFECV,https://doi.org/10.1016/j.compbiomed.2022.105405
,"Coswara, Virufy, Coughvid, Self-collected dataset",Gradient Boosting Machine and Efficient Combination of Features for Speech-Based Detection of COVID-19,2022,Spectral features & Cepstral features & Spectral descriptors & Periodicity features & Feature fusion,LightGBM,Binary Classification & Multiclass Clasification,"Accuracy of 0.978, an F-2 Score of 0.979, and an AUC of 0.976",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9854086
,ICBHI 2017 Respiratory Sound Dataset,A Lightweight CNN Model for Detecting Respiratory Diseases From Lung Auscultation Sounds Using EMD-CWT-Based Hybrid Scalogram,2021,Hybrid Scalogram (EMD + CWT),Lightweight CNN,3-class chronic classification & 6-class pathology classification,3-class chronic classification:98.92%   6-class pathology classification:98.70%,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9310306
